    Universidad de Costa Rica   
       Proyecto Eléctrico       
         II Ciclo 2017          
          openHand_Right_Soro.csv        
 Author: Pablo Avila B30724     

 Media:
 Max Deviation:
 Standar Deviation:

,LEFT HAND:, , , , , , , , , , , , , , , , , , , , RIGHT HAND:
,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky, , , ,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky
,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.7914,60.9318,72.6255,20.5628,46.1396,73.1917,90.6174,11.9982,43.8912,77.7446,98.5885,18.9262,40.5069,70.9497,90.9367,31.4382,43.2227,61.6909,75.7081,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.7868,60.93,72.6344,20.5628,46.1399,73.1922,90.6179,11.9982,43.8912,77.7445,98.5884,18.9262,40.5067,70.9493,90.936,31.4382,43.2237,61.6927,75.7101,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.7838,60.9298,72.6411,20.5628,46.1402,73.1928,90.6187,11.9982,43.891,77.7442,98.5881,18.9262,40.5067,70.9492,90.936,31.4382,43.2248,61.6946,75.7123,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.7822,60.9291,72.6424,20.5628,46.1402,73.1927,90.6187,11.9982,43.891,77.7441,98.588,18.9262,40.5066,70.9492,90.9359,31.4382,43.2268,61.6982,75.7163,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.7802,60.9278,72.6427,20.5628,46.1402,73.1928,90.6188,11.9982,43.8909,77.744,98.5879,18.9262,40.5064,70.9487,90.9353,31.4382,43.2287,61.7015,75.7202,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.7738,60.9199,72.6359,20.5628,46.1404,73.1932,90.6192,11.9982,43.8907,77.7437,98.5875,18.9262,40.5084,70.9521,90.9394,31.4382,43.2291,61.7023,75.7211,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.7667,60.9104,72.6238,20.5628,46.1414,73.1947,90.621,11.9982,43.8906,77.7436,98.5873,18.9262,40.5104,70.9553,90.9432,31.4382,43.2308,61.7055,75.7249,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.7607,60.902,72.6115,20.5628,46.1423,73.1962,90.6227,11.9982,43.8907,77.7437,98.5875,18.9262,40.5107,70.9557,90.9434,31.4382,43.2337,61.7107,75.731,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.7543,60.8909,72.5946,20.5628,46.1433,73.1979,90.6245,11.9982,43.8908,77.7438,98.5875,18.9262,40.5109,70.9557,90.943,31.4382,43.2349,61.7128,75.7335,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.7488,60.8813,72.5795,20.5628,46.1435,73.1983,90.6252,11.9982,43.8909,77.7439,98.5875,18.9262,40.5109,70.9556,90.9428,31.4382,43.2355,61.714,75.7349,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.7391,60.8625,72.5501,20.5628,46.1434,73.1981,90.625,11.9982,43.8911,77.7442,98.5878,18.9262,40.5115,70.9562,90.943,31.4382,43.2358,61.7146,75.7357,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.7322,60.8486,72.5249,20.5628,46.1431,73.1976,90.6244,11.9982,43.8914,77.7446,98.588,18.9262,40.513,70.9581,90.9445,31.4382,43.2364,61.7158,75.7373,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.7242,60.8305,72.4924,20.5628,46.1425,73.1967,90.6235,11.9982,43.8916,77.7448,98.5882,18.9262,40.5143,70.96,90.9465,31.4382,43.2374,61.7177,75.7399,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.7217,60.8226,72.4688,20.5628,46.1416,73.1954,90.6222,11.9982,43.8917,77.7449,98.5882,18.9262,40.5161,70.9625,90.9488,31.4382,43.2393,61.7214,75.7444,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.7151,60.8048,72.4292,20.5628,46.1407,73.1939,90.6206,11.9982,43.8918,77.745,98.5883,18.9262,40.5176,70.9646,90.951,31.4382,43.2419,61.7263,75.7508,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.7096,60.7906,72.397,20.5628,46.1385,73.1905,90.6171,11.9982,43.8919,77.7452,98.5885,18.9262,40.5188,70.966,90.952,31.4382,43.2444,61.7311,75.7569,
