    Universidad de Costa Rica   
       Proyecto Eléctrico       
         II Ciclo 2017          
          openHand_Right.csv        
 Author: Pablo Avila B30724     

 Media:
 Max Deviation:
 Standar Deviation:

,LEFT HAND:, , , , , , , , , , , , , , , , , , , , RIGHT HAND:
,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky, , , ,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky
,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.1217,75.749,95.5303,21.7481,48.5737,77.0664,95.4951,12.6899,46.4571,82.3067,104.411,20.0172,42.596,74.6771,95.7907,33.2505,45.0396,64.05,78.7219,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.1262,75.7565,95.5321,21.7481,48.5729,77.065,95.4932,12.6899,46.4549,82.3031,104.407,20.0172,42.5991,74.6818,95.7961,33.2505,45.04,64.0509,78.7234,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.1378,75.7771,95.5422,21.7481,48.5723,77.0638,95.4918,12.6899,46.4513,82.2979,104.401,20.0172,42.6016,74.6859,95.8011,33.2505,45.0407,64.0523,78.7254,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.1539,75.808,95.5615,21.7481,48.5719,77.0633,95.4913,12.6899,46.4482,82.2934,104.396,20.0172,42.6039,74.6898,95.8062,33.2505,45.0413,64.0535,78.7271,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.1822,75.8683,95.6081,21.7481,48.5713,77.0622,95.49,12.6899,46.4457,82.2894,104.391,20.0172,42.606,74.6934,95.8109,33.2504,45.0443,64.0593,78.7346,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.1911,75.8854,95.6115,21.7481,48.5708,77.0612,95.4887,12.6899,46.4449,82.2878,104.389,20.0172,42.6043,74.6908,95.8082,33.2505,45.0447,64.0603,78.7364,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.2094,75.9232,95.6358,21.7481,48.57,77.0598,95.4871,12.6899,46.4439,82.2862,104.387,20.0172,42.6039,74.6904,95.8078,33.2505,45.0448,64.0607,78.7371,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.2227,75.9492,95.6468,21.7481,48.5684,77.0572,95.4841,12.6899,46.4421,82.2832,104.383,20.0172,42.6032,74.6897,95.8078,33.2505,45.045,64.0613,78.7383,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.2423,75.9918,95.6732,21.7481,48.5659,77.0533,95.4799,12.6899,46.4416,82.2825,104.382,20.0172,42.603,74.6896,95.8081,33.2505,45.0469,64.0654,78.7444,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.2688,76.0542,95.7271,21.7481,48.563,77.0486,95.4749,12.6899,46.441,82.2815,104.381,20.0172,42.603,74.6898,95.8084,33.2504,45.0477,64.0673,78.7476,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.2812,76.0807,95.7353,21.7481,48.5617,77.0465,95.4726,12.6899,46.4407,82.2811,104.381,20.0172,42.6024,74.6891,95.8082,33.2504,45.048,64.0681,78.7492,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.293,76.1104,95.752,21.7481,48.5598,77.0435,95.4695,12.6899,46.4408,82.2813,104.381,20.0172,42.6023,74.6889,95.8081,33.2505,45.0499,64.0723,78.7558,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.2963,76.1263,95.757,21.7481,48.5583,77.041,95.4666,12.6899,46.441,82.2817,104.382,20.0172,42.6019,74.6885,95.8078,33.2505,45.052,64.077,78.7627,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.3145,76.1745,95.7754,21.7481,48.5569,77.0386,95.464,12.6899,46.4412,82.2821,104.382,20.0172,42.5998,74.6855,95.8049,33.2505,45.0549,64.083,78.7713,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.3368,76.2278,95.7986,21.7481,48.5561,77.0373,95.4623,12.6899,46.4419,82.2833,104.384,20.0172,42.5986,74.6838,95.8033,33.2504,45.0581,64.0895,78.7802,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.3602,76.2763,95.7854,21.7481,48.5545,77.0347,95.4593,12.6899,46.4429,82.285,104.386,20.0172,42.5963,74.6807,95.8001,33.2505,45.0621,64.0978,78.7919,
