    Universidad de Costa Rica   
       Proyecto Eléctrico       
         II Ciclo 2017          
          openHand_Both_Soro.csv        
 Author: Pablo Avila B30724     

 Media:
 Max Deviation:
 Standar Deviation:

,LEFT HAND:, , , , , , , , , , , , , , , , , , , , RIGHT HAND:
,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky, , , ,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky
,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,
Left Hand,58.597,53.7744,63.257,80.2357,22.042,49.4257,78.4108,97.0969,12.8613,47.1738,83.5518,105.971,20.2877,43.0316,75.5138,96.9594,33.6997,45.7899,65.1696,80.0775,55.6016,50.2038,63.6604,84.1796,20.9152,46.7738,74.2252,91.9451,12.2039,44.7609,79.2739,100.502,19.2506,41.1892,72.198,92.6102,31.977,43.4223,61.8197,76.0217,
Left Hand,58.597,53.7762,63.2511,80.2265,22.042,49.4243,78.4084,97.0938,12.8613,47.1727,83.5501,105.969,20.2877,43.0316,75.5135,96.9588,33.6997,45.7887,65.167,80.0737,55.6016,50.2027,63.6581,84.177,20.9152,46.774,74.2255,91.9455,12.2039,44.7609,79.2739,100.502,19.2506,41.1896,72.1983,92.6103,31.977,43.4225,61.8201,76.022,
Left Hand,58.597,53.7764,63.2412,80.2109,22.042,49.424,78.4078,97.0929,12.8613,47.1715,83.5487,105.968,20.2877,43.0323,75.5148,96.9606,33.6997,45.7901,65.1691,80.0751,55.6016,50.1972,63.6451,84.1618,20.9152,46.7743,74.226,91.9462,12.2039,44.7608,79.2739,100.502,19.2506,41.1899,72.1987,92.6105,31.977,43.4229,61.8205,76.0221,
Left Hand,58.597,53.7777,63.2367,80.2015,22.042,49.4233,78.4065,97.0914,12.8613,47.1704,83.5473,105.967,20.2877,43.0335,75.5167,96.9629,33.6997,45.7907,65.1701,80.0763,55.6016,50.1928,63.6346,84.1491,20.9152,46.7743,74.2261,91.9466,12.2039,44.7604,79.2735,100.503,19.2506,41.1903,72.1992,92.6108,31.977,43.4222,61.8191,76.0199,
Left Hand,58.597,53.7793,63.2342,80.1946,22.042,49.4229,78.406,97.0909,12.8613,47.1698,83.5465,105.967,20.2877,43.0347,75.5188,96.9654,33.6997,45.7909,65.1705,80.077,55.6016,50.1816,63.6077,84.1175,20.9152,46.7745,74.2265,91.9472,12.2039,44.7601,79.2732,100.503,19.2506,41.1904,72.1993,92.6107,31.977,43.4223,61.8191,76.0198,
Left Hand,58.597,53.7815,63.2307,80.1854,22.042,49.4224,78.4052,97.09,12.8613,47.1691,83.5458,105.967,20.2877,43.0332,75.516,96.9617,33.6997,45.7906,65.1701,80.077,55.6016,50.1732,63.588,84.0946,20.9152,46.7749,74.2272,91.9483,12.2039,44.7601,79.2732,100.503,19.2506,41.1907,72.1996,92.6108,31.977,43.4219,61.8182,76.0182,
Left Hand,58.597,53.7846,63.2309,80.1809,22.0419,49.4202,78.4015,97.0857,12.8613,47.1682,83.5447,105.966,20.2877,43.0294,75.509,96.9518,33.6997,45.7898,65.1688,80.0756,55.6016,50.1538,63.5418,84.0405,20.9152,46.7752,74.2276,91.9489,12.2039,44.7598,79.273,100.503,19.2506,41.1932,72.2025,92.6124,31.977,43.4215,61.8168,76.0151,
Left Hand,58.597,53.7885,63.2342,80.1816,22.042,49.4188,78.3991,97.0829,12.8613,47.1675,83.5436,105.965,20.2877,43.0219,75.497,96.9376,33.6997,45.789,65.1673,80.0738,55.6016,50.1327,63.4905,83.9798,20.9152,46.7755,74.2282,91.9497,12.2039,44.7596,79.2728,100.503,19.2506,41.1946,72.204,92.6132,31.977,43.4217,61.8164,76.0136,
Left Hand,58.597,53.7926,63.239,80.1849,22.042,49.4171,78.3963,97.0797,12.8613,47.1669,83.5428,105.964,20.2877,43.0192,75.493,96.9335,33.6997,45.7881,65.1658,80.0722,55.6016,50.1151,63.4466,83.9274,20.9152,46.7758,74.2287,91.9504,12.2039,44.7594,79.2726,100.504,19.2506,41.1993,72.2099,92.6175,31.977,43.422,61.8166,76.0127,
Left Hand,58.597,53.7944,63.2405,80.1842,22.042,49.4157,78.394,97.0771,12.8613,47.1651,83.5398,105.96,20.2877,43.018,75.4911,96.9312,33.6997,45.7871,65.1637,80.0696,55.6016,50.1056,63.4222,83.8979,20.9152,46.7759,74.2289,91.9508,12.2039,44.7593,79.2726,100.504,19.2506,41.2056,72.2175,92.6225,31.977,43.4225,61.8173,76.013,
