    Universidad de Costa Rica   
       Proyecto Eléctrico       
         II Ciclo 2017          
          openHand_Left.csv        
 Author: Pablo Avila B30724     

 Media:
 Max Deviation:
 Standar Deviation:

,LEFT HAND:, , , , , , , , , , , , , , , , , , , , RIGHT HAND:
,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky, , , ,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky
,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,
,56.8934,56.0698,75.7621,98.8878,21.4011,47.6549,75.5835,93.658,12.4874,45.4088,80.5286,102.219,19.6978,41.2457,72.488,93.1943,32.7199,43.5559,61.6665,75.9499,
,56.8934,56.0773,75.778,98.9056,21.4011,47.6549,75.5836,93.6581,12.4874,45.4093,80.5292,102.219,19.6978,41.2456,72.4877,93.1935,32.7199,43.5556,61.6658,75.9484,
,56.8934,56.0756,75.7746,98.9021,21.4011,47.6545,75.5828,93.6573,12.4874,45.4096,80.5299,102.22,19.6978,41.2455,72.4868,93.1913,32.7199,43.5553,61.6644,75.9451,
,56.8934,56.1092,75.8424,98.9787,21.4011,47.6542,75.5826,93.6573,12.4874,45.4103,80.5311,102.222,19.6978,41.236,72.4702,93.1695,32.7199,43.5544,61.6603,75.9358,
,56.8934,56.1345,75.9001,99.0477,21.4011,47.6554,75.5848,93.6605,12.4874,45.41,80.5307,102.222,19.6978,41.2204,72.4413,93.1292,32.7199,43.5542,61.6589,75.9318,
,56.8934,56.1315,75.8935,99.04,21.4011,47.6601,75.5935,93.6721,12.4874,45.4089,80.5294,102.221,19.6978,41.2183,72.4338,93.1141,32.7199,43.5529,61.6543,75.9222,
,56.8934,56.137,75.9053,99.0531,21.4011,47.6603,75.5939,93.6727,12.4874,45.4063,80.5259,102.217,19.6978,41.2185,72.4289,93.1005,32.7199,43.5521,61.6488,75.9083,
,56.8934,56.1392,75.9099,99.0583,21.4011,47.6499,75.5753,93.6487,12.4874,45.4049,80.5238,102.215,19.6978,41.2025,72.4028,93.0685,32.7199,43.5493,61.6414,75.8951,
,56.8934,56.1422,75.9153,99.0635,21.4011,47.6448,75.5663,93.6372,12.4874,45.4032,80.5211,102.212,19.6978,41.1925,72.3864,93.0487,32.7199,43.5449,61.632,75.8817,
,56.8934,56.1298,75.8902,99.0362,21.4011,47.6393,75.5562,93.624,12.4874,45.4018,80.5194,102.21,19.6978,41.1808,72.3668,93.0238,32.7199,43.5419,61.6253,75.8716,
,56.8934,56.1343,75.9006,99.0486,21.4011,47.6368,75.552,93.6193,12.4874,45.3953,80.5097,102.2,19.6978,41.1753,72.355,93.0055,32.7199,43.5419,61.6247,75.8697,
,56.8934,56.1783,75.9968,99.1589,21.4011,47.6348,75.5491,93.6167,12.4874,45.3886,80.5005,102.191,19.6978,41.1741,72.3468,92.9864,32.7199,43.5413,61.6229,75.8662,
